Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15092026,1922914637,0003415
Trade Date <15-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,352,ALGOQUANT,EQ,1404240,505557,36.00
20,353,ALICON,EQ,11860,6414,54.08
20,354,ALIVUS,EQ,79325,42559,53.65
20,355,ALKALI,EQ,10853,6190,57.03
20,356,ALKEM,EQ,253213,112761,44.53
20,357,ALKYLAMINE,EQ,85642,42243,49.33
20,358,ALLCARGO,EQ,11548427,3986212,34.52
20,359,ALLDIGI,EQ,2913,2115,72.61
20,360,ALLETEC,SM,12400,10000,80.65
20,361,ALLTIME,EQ,111414,44291,39.75
20,362,ALMONDZ,EQ,546923,385140,70.42
20,363,ALOKINDS,EQ,16675898,7093215,42.54
20,364,ALPA,EQ,10739,8806,82.00
20,365,ALPEXSOLAR,SM,44900,31300,69.71
20,366,ALPHA,EQ,1858489,1156432,62.22
20,367,ALPHAETF,EQ,494292,366112,74.07
20,368,ALPINETEX,EQ,94673,51006,53.88
20,369,ALPL30IETF,EQ,2987998,2793069,93.48
20,370,ALUFLUOR,EQ,4714,4123,87.46
20,371,ALUWIND,SM,4500,4500,100.00
20,372,AMAGI,EQ,291602,121712,41.74
20,373,AMAL,EQ,7292,5078,69.64
20,374,AMARJOTHI,EQ,3047,2720,89.27
20,375,AMBAAUTO,SM,25000,17000,68.00
20,376,AMBER,EQ,145928,49788,34.12
20,377,AMBICAAGAR,EQ,8112,6205,76.49
20,378,AMBIKCO,EQ,10233,8545,83.50
20,379,AMBUJACEM,EQ,1367462,615162,44.99
20,380,AMCL,SM,10800,10400,96.30
20,381,AMDIND,EQ,1440694,360155,25.00
20,382,AMEYA,SM,24000,17000,70.83
20,383,AMJLAND,EQ,20539,17414,84.79
20,384,AMNPLST,EQ,1450,1321,91.10
20,385,AMRUTANJAN,EQ,26954,15753,58.44
20,386,ANANDRATHI,EQ,126796,78401,61.83
20,387,ANANTAM,IV,3997,3685,92.19
20,388,ANANTRAJ,EQ,1793456,802379,44.74
20,389,ANAWIL,SM,160400,106800,66.58
20,390,ANDHRAPAP,EQ,1506455,513709,34.10
20,391,ANDHRSUGAR,EQ,366347,176355,48.14
20,392,ANDREWYU,EQ,63569,48277,75.94
20,393,ANGELONE,EQ,5536817,1976176,35.69
20,394,ANIKINDS,EQ,23241,14896,64.09
20,395,ANLON,SM,3600,3200,88.89
20,396,ANMOL,EQ,977450,480858,49.20
20,397,ANNAPURNA,EQ,14823,8860,59.77
20,398,ANONDITA,SM,58400,35800,61.30
20,399,ANSALBU,EQ,10068,8783,87.24
20,400,ANTELOPUS,EQ,1129576,186935,16.55
20,401,ANTGRAPHIC,EQ,87794,57044,64.97
20,402,ANTHEM,EQ,599280,335159,55.93
20,403,ANUHPHR,EQ,208793,98349,47.10
20,404,ANUP,EQ,24723,14107,57.06
20,405,ANURAS,EQ,493232,288207,58.43
20,406,ANYA,SM,5000,5000,100.00
20,407,AONEGOLD,EQ,394998,181523,45.96
20,408,AONELIQUID,EQ,10143,7276,71.73
20,409,AONENIFTY,EQ,237957,217760,91.51
20,410,AONESILVER,EQ,565305,355107,62.82
20,411,AONETMMQ50,EQ,204288,163001,79.79
20,412,AONETOTAL,EQ,226437,115690,51.09
20,413,APARINDS,EQ,100710,39728,39.45
20,414,APCL,EQ,4097,3935,96.05
20,415,APCOTEXIND,EQ,118177,66581,56.34
20,416,APEX,EQ,81885,38979,47.60
20,417,APEXECO,ST,14400,14400,100.00
20,418,APLAPOLLO,EQ,434016,219587,50.59
20,419,APLLTD,EQ,165473,72601,43.87
20,420,APOLLO,EQ,9564451,3539988,37.01
20,421,APOLLOHOSP,EQ,247091,152948,61.90
20,422,APOLLOPIPE,EQ,406249,184431,45.40
20,423,APOLLOTYRE,EQ,329820,136141,41.28
20,424,APOLSINHOT,EQ,636,527,82.86
20,425,APOORVA,EQ,296,296,100.00
20,426,APRAMEYA,SM,14000,14000,100.00
20,427,APS,SM,18000,12250,68.06
20,428,APSISAERO,ST,7200,7200,100.00
20,429,APTUS,EQ,1042351,607836,58.31
20,430,AQYLON,EQ,4195907,4073221,97.08
20,431,ARABIAN,SM,2000,2000,100.00
20,432,ARCHIDPLY,EQ,16131,11124,68.96
20,433,ARCHIES,EQ,10834,9792,90.38
20,434,ARCIIL,SM,2000,2000,100.00
20,435,ARCL,EQ,1510,1510,100.00
20,436,ARDEE,EQ,5215440,2950277,56.57
20,437,ARE&M,EQ,408139,198813,48.71
20,438,ARENTERP,EQ,547,392,71.66
20,439,ARFIN,EQ,1085971,186720,17.19
20,440,ARHAM,SM,19000,15000,78.95
20,441,ARIHANT,EQ,6740,1378,20.45
20,442,ARIHANTACA,SM,400,400,100.00
20,443,ARIHANTCAP,EQ,1185062,581095,49.03
20,444,ARIHANTSUP,EQ,4749,3484,73.36
20,445,ARIS,EQ,1323454,543604,41.07
20,446,ARISTO,SM,3200,3200,100.00
20,447,ARKADE,EQ,194033,78703,40.56
20,448,ARMANFIN,EQ,37939,19886,52.42
20,449,AROGRANITE,EQ,9200,8684,94.39
20,450,ARROWGREEN,EQ,225224,119090,52.88
20,451,ARSSBL,EQ,149916,81854,54.60
20,452,ARTEMISMED,EQ,380378,203253,53.43
20,453,ARTNIRMAN,EQ,834,829,99.40
20,454,ARUNAYA,SM,4000,4000,100.00
20,455,ARVEE,EQ,5648,3126,55.35
20,456,ARVIND,EQ,1581072,565614,35.77
20,457,ARVINDFASN,EQ,218586,83252,38.09
20,458,ARVINDPORT,SM,7500,7500,100.00
20,459,ARVSMART,EQ,232819,111230,47.78
20,460,ARYAMAN,EQ,5,5,100.00
20,461,ASAHIINDIA,EQ,181950,111542,61.30
20,462,ASAL,EQ,19416,11547,59.47
20,463,ASALCBR,EQ,38899,22894,58.85
20,464,ASHALOG,SM,16000,15000,93.75
20,465,ASHAPURMIN,EQ,299127,146956,49.13
20,466,ASHIANA,EQ,26206,17507,66.81
20,467,ASHIMASYN,EQ,30749,22572,73.41
20,468,ASHOKA,EQ,542158,279190,51.50
20,469,ASHOKAMET,EQ,900455,421159,46.77
20,470,ASHOKLEY,EQ,17917014,8878502,49.55
20,471,ASHUTOSH,ST,338400,312000,92.20
20,472,ASHWINI,SM,2000,2000,100.00
20,473,ASIANENE,EQ,855416,408363,47.74
20,474,ASIANHOTNR,EQ,111275,18857,16.95
