Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,31082026,3068735779,0003375
Trade Date <31-AUG-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,359,ALUWIND,SM,13500,12000,88.89
20,360,AMAGI,EQ,1951326,1129764,57.90
20,361,AMAL,EQ,5023,3695,73.56
20,362,AMARJOTHI,EQ,877,877,100.00
20,363,AMBAAUTO,SM,11000,3000,27.27
20,364,AMBER,EQ,105370,39465,37.45
20,365,AMBICAAGAR,EQ,6718,5575,82.99
20,366,AMBIKCO,EQ,6584,4067,61.77
20,367,AMBUJACEM,EQ,2212877,1274610,57.60
20,368,AMCL,SM,26400,25600,96.97
20,369,AMDIND,EQ,72026,47533,65.99
20,370,AMJLAND,EQ,12970,8809,67.92
20,371,AMNPLST,EQ,804,626,77.86
20,372,AMRUTANJAN,EQ,73214,41124,56.17
20,373,ANANDRATHI,EQ,421862,241415,57.23
20,374,ANANTAM,IV,33447,33447,100.00
20,375,ANANTRAJ,EQ,1596650,674777,42.26
20,376,ANAWIL,SM,179200,107600,60.04
20,377,ANDHRAPAP,EQ,215681,115358,53.49
20,378,ANDHRSUGAR,EQ,1062628,342062,32.19
20,379,ANDREWYU,EQ,95639,62082,64.91
20,380,ANGELONE,EQ,15319412,7429457,48.50
20,381,ANIKINDS,EQ,50864,19945,39.21
20,382,ANLON,SM,9200,7600,82.61
20,383,ANMOL,EQ,26512,22448,84.67
20,384,ANNAPURNA,EQ,46694,27511,58.92
20,385,ANONDITA,SM,535800,446200,83.28
20,386,ANSALBU,EQ,919,907,98.69
20,387,ANTELOPUS,EQ,53064,24004,45.24
20,388,ANTGRAPHIC,EQ,748166,578951,77.38
20,389,ANTHEM,EQ,1181406,687265,58.17
20,390,ANUHPHR,EQ,55545,31532,56.77
20,391,ANUP,EQ,15543,7738,49.78
20,392,ANURAS,EQ,166656,108398,65.04
20,393,ANZEN,IV,25000,25000,100.00
20,394,AONEGOLD,EQ,768967,369503,48.05
20,395,AONELIQUID,EQ,23133,18686,80.78
20,396,AONENIFTY,EQ,209900,125720,59.90
20,397,AONESILVER,EQ,619845,335498,54.13
20,398,AONETMMQ50,EQ,24342,14869,61.08
20,399,AONETOTAL,EQ,355909,71952,20.22
20,400,APARINDS,EQ,88241,29819,33.79
20,401,APCL,EQ,4715,3987,84.56
20,402,APCOTEXIND,EQ,460194,199937,43.45
20,403,APEX,EQ,113018,42652,37.74
20,404,APEXECO,ST,7200,7200,100.00
20,405,APLAPOLLO,EQ,1081058,641933,59.38
20,406,APLLTD,EQ,139739,89731,64.21
20,407,APOLLO,EQ,4103179,1192468,29.06
20,408,APOLLOHOSP,EQ,405214,256091,63.20
20,409,APOLLOPIPE,EQ,217305,66669,30.68
20,410,APOLLOTYRE,EQ,778696,405339,52.05
20,411,APOLSINHOT,EQ,562,457,81.32
20,412,APOORVA,EQ,28,28,100.00
20,413,APRAMEYA,SM,14500,14500,100.00
20,414,APS,SM,12000,8250,68.75
20,415,APSISAERO,ST,187200,187200,100.00
20,416,APTUS,EQ,938126,517787,55.19
20,417,AQYLON,EQ,774347,678888,87.67
20,418,ARABIAN,SM,2000,2000,100.00
20,419,ARCHIDPLY,EQ,11698,7003,59.86
20,420,ARCHIES,EQ,22389,17513,78.22
20,421,ARCIIL,SM,27000,25000,92.59
20,422,ARCL,EQ,254,246,96.85
20,423,ARDEE,EQ,3540606,1486073,41.97
20,424,ARE&M,EQ,715755,354475,49.52
20,425,ARENTERP,EQ,688,673,97.82
20,426,ARFIN,EQ,1024777,135755,13.25
20,427,ARHAM,SM,42000,23000,54.76
20,428,ARIES,EQ,30956,17819,57.56
20,429,ARIHANT,EQ,3929,2035,51.79
20,430,ARIHANTACA,SM,2000,2000,100.00
20,431,ARIHANTCAP,EQ,63571,32895,51.75
20,432,ARIHANTSUP,EQ,3616,2530,69.97
20,433,ARIS,EQ,1008272,532433,52.81
20,434,ARKADE,EQ,188573,84647,44.89
20,435,ARMANFIN,EQ,20481,10628,51.89
20,436,ARMOUR,ST,6000,6000,100.00
20,437,AROGRANITE,EQ,9808,9411,95.95
20,438,ARSSBL,EQ,123094,74761,60.73
20,439,ARTEMISMED,EQ,115013,68653,59.69
20,440,ARTNIRMAN,EQ,937,858,91.57
20,441,ARUNAYA,SM,6000,4000,66.67
20,442,ARVEE,EQ,1926,1128,58.57
20,443,ARVIND,EQ,838704,403723,48.14
20,444,ARVINDFASN,EQ,146160,89469,61.21
20,445,ARVSMART,EQ,66987,32172,48.03
20,446,ARYAMAN,EQ,125,121,96.80
20,447,ASAHIINDIA,EQ,139150,78811,56.64
20,448,ASAL,EQ,29039,17612,60.65
20,449,ASALCBR,EQ,31262,21464,68.66
20,450,ASHALOG,SM,3000,3000,100.00
20,451,ASHAPURMIN,EQ,328284,169382,51.60
20,452,ASHIANA,EQ,26748,15509,57.98
20,453,ASHIMASYN,EQ,31225,27762,88.91
