Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03092026,1819883055,0003354
Trade Date <03-SEP-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,453,ATCENERGY,ST,1200,1200,100.00
20,454,ATGL,EQ,486903,199830,41.04
20,455,ATHERENERG,EQ,4163125,994515,23.89
20,456,ATL,EQ,163316,85975,52.64
20,457,ATLANTAA,EQ,27112,15514,57.22
20,458,ATLANTAELE,EQ,253182,105427,41.64
20,459,ATLASCYCLE,EQ,2994,1812,60.52
20,460,ATLPP,E1,2102,2102,100.00
20,461,ATMASTCO,SM,17200,11200,65.12
20,462,ATUL,EQ,54621,27096,49.61
20,463,ATULAUTO,EQ,161354,88279,54.71
20,464,AUBANK,EQ,506657,254519,50.23
20,465,AUGMONT,EQ,3652464,811140,22.21
20,466,AURIONPRO,EQ,170083,97682,57.43
20,467,AUROIMPEX,SM,14400,14400,100.00
20,468,AUROPHARMA,EQ,920206,465348,50.57
20,469,AURUM,EQ,45123,22431,49.71
20,470,AURUS,EQ,8380,6340,75.66
20,471,AUSL,SM,22000,22000,100.00
20,472,AUSOMENT,EQ,15371,11212,72.94
20,473,AUSTENG,EQ,263,233,88.59
20,474,AUTOAXLES,EQ,4117,1762,42.80
20,475,AUTOBEES,EQ,147286,83505,56.70
20,476,AUTOIETF,EQ,698330,425932,60.99
20,477,AUTOIND,EQ,1837130,398929,21.71
20,478,AVADHSUGAR,EQ,152917,53531,35.01
20,479,AVALON,EQ,462178,154980,33.53
20,480,AVANA,ST,14000,12000,85.71
20,481,AVANCE,EQ,4293598,2880030,67.08
20,482,AVANTEL,EQ,469993,226393,48.17
20,483,AVANTIFEED,EQ,274215,104116,37.97
20,484,AVIANSH,SM,2000,2000,100.00
20,485,AVIENCE,SM,16800,11400,67.86
20,486,AVL,EQ,183361,84592,46.13
20,487,AVONMORE,EQ,262918,193754,73.69
20,488,AVPINFRA,SM,14400,10400,72.22
20,489,AVROIND,EQ,1477571,767890,51.97
20,490,AVTNPL,EQ,1865936,577863,30.97
20,491,AWFIS,EQ,157192,86938,55.31
20,492,AWHCL,EQ,39713,21802,54.90
20,493,AWL,EQ,1055619,457885,43.38
20,494,AXISBANK,EQ,3309215,1540922,46.56
20,495,AXISCADES,EQ,204487,118398,57.90
20,496,AXITA,EQ,1959553,524477,26.77
20,497,AXTEL,EQ,2503,1981,79.15
20,498,AYE,EQ,1898393,712913,37.55
20,499,AYMSYNTEX,EQ,177069,75694,42.75
20,500,AZAD,EQ,265346,105188,39.64
20,501,AZADIND,EQ,20933,3902,18.64
20,502,BABAFP,SM,20800,20800,100.00
20,503,BAGFILMS,EQ,82008,52137,63.58
20,504,BAGMANE,RR,565623,429250,75.89
20,505,BAHETI,SM,13125,6000,45.71
20,506,BAIDFIN,EQ,63798,48632,76.23
20,507,BAJAJ-AUTO,EQ,304296,158023,51.93
20,508,BAJAJCON,EQ,1590658,576216,36.23
20,509,BAJAJELEC,EQ,146224,72944,49.89
20,510,BAJAJFINSV,EQ,440070,233860,53.14
20,511,BAJAJHCARE,EQ,159404,77458,48.59
20,512,BAJAJHFL,EQ,2477489,1351205,54.54
20,513,BAJAJHIND,EQ,37086853,5385641,14.52
20,514,BAJAJHLDNG,EQ,114534,77601,67.75
20,515,BAJAJINDEF,EQ,10047,7258,72.24
20,516,BAJAJST,EQ,22260,17224,77.38
20,517,BAJEL,EQ,149050,62143,41.69
20,518,BAJFINANCE,EQ,6626755,4491697,67.78
20,519,BALAJEE,EQ,28150,23182,82.35
20,520,BALAJIPHOS,SM,31000,22000,70.97
20,521,BALAJITELE,EQ,48642,29461,60.57
20,522,BALAMINES,EQ,113802,31675,27.83
20,523,BALAXI,EQ,222864,159241,71.45
20,524,BALKRISHNA,EQ,24679,21466,86.98
20,525,BALKRISIND,EQ,435290,209850,48.21
20,526,BALMLAWRIE,EQ,78208,44794,57.28
20,527,BALPHARMA,EQ,55530,30184,54.36
20,528,BALRAMCHIN,EQ,8596034,964463,11.22
20,529,BALUFORGE,EQ,3284539,917875,27.95
20,530,BANARBEADS,EQ,1785,1320,73.95
20,531,BANARISUG,EQ,1510,496,32.85
20,532,BANCOINDIA,EQ,66260,28754,43.40
20,533,BANDHANBNK,EQ,6048725,1289539,21.32
20,534,BANG,EQ,52743,23968,45.44
20,535,BANK10ADD,EQ,12847,9123,71.01
20,536,BANK10BETF,EQ,222,222,100.00
20,537,BANKA,EQ,3118,2566,82.30
20,538,BANKADD,EQ,53619,11766,21.94
20,539,BANKBARODA,EQ,4789865,2469691,51.56
20,540,BANKBEES,EQ,612190,297381,48.58
20,541,BANKBETA,EQ,111827,80765,72.22
20,542,BANKBETF,EQ,7667,6151,80.23
20,543,BANKETF,EQ,16567,8521,51.43
20,544,BANKIETF,EQ,1641019,1452287,88.50
20,545,BANKINDIA,EQ,8139407,3447766,42.36
20,546,BANKNIFTY1,EQ,117333,82073,69.95
20,547,BANKPSU,EQ,17899,13173,73.60
20,548,BANSALWIRE,EQ,61033,39941,65.44
20,549,BANSWRAS,EQ,31789,22152,69.68
20,550,BARFLEX,SM,4000,4000,100.00
20,551,BASF,EQ,12087,6552,54.21
20,552,BASILIC,SM,10500,5400,51.43
20,553,BATAINDIA,EQ,88601,29120,32.87
20,554,BATLIBOI,EQ,65800,38311,58.22
20,555,BAWEJA,ST,6400,6400,100.00
20,556,BAYERCROP,EQ,19211,10741,55.91
20,557,BBETF0432,EQ,14956,14863,99.38
20,558,BBL,EQ,22074,15750,71.35
